"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "TOML", "comment", "blank", "total"
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/data/characters/gorwin.ts", "TypeScript", 138, 0, 0, 0, 0, 0, 8, 146
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/data/characters/sigmar.ts", "TypeScript", 109, 0, 0, 0, 0, 0, 5, 114
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/data/classes/arqueroPsionico.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 2, 86
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 2, 6
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/jest.config.js", "JavaScript", 0, 0, 0, 6, 0, 1, 1, 8
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/package.json", "JSON", 0, 0, 10, 0, 0, 17, 0, 27
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/srd/classFeatures/proficiencies.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 5, 35
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/srd/classes.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 4, 39
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/srd/commonBuffs/commonBuffs.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 6, 109
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/srd/equipment/armor.ts", "TypeScript", 308, 0, 0, 0, 0, 0, 20, 328
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/srd/equipment/weapons.ts", "TypeScript", 170, 0, 0, 0, 0, 0, 6, 176
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/srd/languages.ts", "TypeScript", 107, 0, 0, 0, 0, 0, 3, 110
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/srd/weaponEnhancements/weaponEnhacements.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 2, 63
"/Users/cilvetibiko/proyectos_personales/cilvet-dice/tsconfig.json", "JSON with Comments", 0, 33, 0, 0, 0, 36, 6, 75
"Total", "-", 9939, 41, 126, 6, 2, 104, 906, 11124
